CL_NM,TRRSRT_NM,TRRSRT_ADDR,ORIGIN_CL_NM,ANALS_BEGIN_DE,ANALS_END_DE,AVRG_SCORE_VALUE,CORE_KWRD_CN,CORE_KWRD_CO,AFRM_KWRD_CN,AFRM_KWRD_CO,NEGA_KWRD_CN,NEGA_KWRD_CO
테마파크,한림공원,제주 제주시 한림읍 한림로 300,KAKAO,20230101,20230630,91,"입장료,생각,공작,동굴,볼거리,구경,식물,만족,매화,정도",10,만족,1,,0
테마파크,제주허브동산,제주 서귀포시 표선면 돈오름로 170,KAKAO,20230101,20230630,75,"족욕,체험,신분증,오늘,제시,본인,실수,허브,동산,사진",10,,0,실수,1
테마파크,화조원,제주 제주시 애월읍 애원로 804,KAKAO,20230101,20230630,74,"알파카,동물,공연,아이,입장료,체험,가까이,입장,시간,맹금류",10,,0,,0
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,KAKAO,20230101,20230630,82,"이중섭,그림,작품,작가,공간,전시,미술관,가족,후기,생각",10,,0,,0
자연,비자림,제주 제주시 구좌읍 비자숲길 55,KAKAO,20230101,20230630,93,"산책,정도,비자,코스,힐링,방문,제주,추천,자연,피톤치드",10,"힐링,추천",2,,0
자연,만장굴,제주 제주시 구좌읍 만장굴길 182,KAKAO,20230101,20230630,80,"동굴,만장,발견,초딩,바닥,관광,방문,자연,세계,탐험",10,,0,,0
자연,성산일출봉,제주 서귀포시 성산읍 성산리 1,KAKAO,20230101,20230630,94,"일출,일출봉,성산,명소,제주,여행,예약,장소,경관,무료입장",10,,0,,0
기타,삼성혈,제주 제주시 삼성로 22,KAKAO,20230101,20230630,87,"벚꽃,방문,산책,제주,사진,입장료,바람,시간,이상,휴식",10,휴식,1,,0
레저관광,마라도가는여객선,제주 서귀포시 대정읍 송악관광로 424,KAKAO,20230101,20230630,100,"이용,마라도,송악산,여객선,시간,바다,마지막,최고,편성,근처",10,,0,,0
자연,산양큰엉곶,제주 제주시 한경면 청수리 956-6,KAKAO,20230101,20230630,76,"관광지,버스,산책,입장료,순환,할인,중간,포토스팟,동물,꼬맹이",10,,0,,0
테마파크,방림원,제주 제주시 한경면 용금로 864,KAKAO,20230101,20230630,40,"생각,무료,개방,돈아까비,장사,이유,경험",7,,0,,0
테마파크,제주무민랜드,제주 서귀포시 안덕면 병악로 420,KAKAO,20230101,20230630,75,"무민,친절,체험,직원,카페,생각,아이,만족,방학,기간",10,"친절,만족",2,,0
테마파크,다이나믹메이즈제주,제주 서귀포시 표선면 번영로 2644,KAKAO,20230101,20230630,20,,1,,0,,0
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,KAKAO,20230101,20230630,100,"감귤,피자,기대,체험,공사,온실,무료,개방,최고,경험",10,기대,1,,0
테마파크,에코랜드,제주 제주시 조천읍 번영로 1278-169,KAKAO,20230101,20230630,65,"기차,입장료,제주,여름,날씨,동절기,상태,건강,신경,산책",10,,0,,0
공연전시,숨도,제주 서귀포시 일주동로 8941,KAKAO,20230101,20230630,73,"방문,시간,예매,사용,가능,쇼핑,구경,중간,카페,포토존",10,,0,,0
공연전시,제주해양동물박물관,제주 서귀포시 성산읍 서성일로 689-21,KAKAO,20230101,20230630,88,"어른,이하,방문,애기,시간,동물,친절,문제,평점,관람",10,친절,1,문제,1
공연전시,그리스신화박물관,제주 제주시 한림읍 광산로 942,KAKAO,20230101,20230630,60,"그리스,신화,크기,구경,주변,공사,야외,시설,낙후,로마",10,,0,,0
기타,섬타르,제주 제주시 다랑곶1길 9,KAKAO,20230101,20230630,51,"타르트,친절,메뉴,후기,가게,선물,추천,직원,카페,디져트",10,"친절,추천",2,,0
기타,망고레이섭지코지점,제주 서귀포시 성산읍 신양로 102,KAKAO,20230101,20230630,100,"망고,애플,빙수,마진,얼음,가격,양도,필리핀,영업,친절",10,친절,1,,0
레저관광,걸리버여행기,제주 제주시 우도면 우도로 1,KAKAO,20230101,20230630,35,"후기,보고,네이버,예약,별일,하우,목동,픽업,감사,사이드카",10,,0,,0
