CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,더힐하우스스파,제주특별자치도 제주시 한림읍 한창로 925-122,2023,05,63,10,15,8,10,6,5,9
c1,관광지,덕천리 팔자 좋아 길,제주특별자치도 제주시 구좌읍 중산간동로,2023,05,177,26,22,14,15,11,51,38
c1,관광지,도곤도곤 애견미용실,제주특별자치도 제주시 성신로1길 21,2023,05,53,9,17,4,8,3,3,9
c1,관광지,도그앤캣,제주특별자치도 서귀포시 홍중로 119-2  601동 107호,2023,05,40,6,8,6,7,3,8,2
c1,관광지,도도펫,제주특별자치도 제주시 우령8길 63-16,2023,05,35,6,5,3,9,5,4,3
c1,관광지,도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,2023,05,822,149,135,126,116,114,87,95
c1,관광지,도두봉,제주특별자치도 제주시 도두동 산 1,2023,05,511,97,97,76,72,64,54,51
c1,관광지,도두항,제주특별자치도 제주시 도공로 2,2023,05,114,23,26,14,18,12,10,11
c1,관광지,도두해안도로,제주특별자치도 제주시 도두2동 706-3,2023,05,48,7,11,4,6,5,8,7
c1,관광지,도령모루,제주특별자치도,2023,05,45,3,10,7,7,6,4,8
